Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Random data api:Random api,21692,1093,0,34881,1454.80,1.217%,5.14199,7.89,0.66,1572.1
TOTAL,21692,1093,0,34881,1454.80,1.217%,5.14199,7.89,0.66,1572.1
